"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          19,      -5.450636896,      -5.446467148,      -5.431492455,      -5.064773369,      -9.033549044,      -1.351141186,   0.0001342967034,      0.2098269728,                 0,                 0,                 0,     0.08114988635,   0.0001342967034,      0.2098269728,                 0,       1562.413429,    0.002394599513
          0,           0,          20,      -5.436890997,      -5.425678073,      -5.424130796,      -5.044392326,      -9.153537639,      -1.477207071,      0.0256748842,      0.1806008108,                 0,                 0,                 0,     0.08819354971,      0.0256748842,      0.1806008108,                 0,       7.034143152,    0.002394599513
          0,           0,          21,       -5.41144215,      -5.362366169,      -5.358194872,      -5.012466259,      -9.237791497,      -1.040570752,     0.03100363018,      0.1741498573,                 0,                 0,                 0,     0.08922802518,     0.03100363018,      0.1741498573,                 0,       5.617079556,    0.002394599513
          0,           0,          22,      -5.393277694,      -5.347693125,      -5.339045295,      -4.994053443,      -9.257507274,     -0.9175694268,     0.03748716667,      0.1655291254,                 0,                 0,                 0,     0.08961008611,     0.03748716667,      0.1655291254,                 0,       4.415621135,    0.002394599513
          0,           0,          23,      -5.372933236,      -5.328662267,      -5.315035876,      -4.973589006,      -9.274925903,      -1.361490305,     0.04494740272,      0.1544041779,                 0,                 0,                 0,     0.08861320599,     0.04494740272,      0.1544041779,                 0,       3.435219135,    0.002394599513
          0,           0,          24,      -5.350642854,      -5.306422555,      -5.289871404,      -4.951452343,      -9.280834709,      -1.572051717,      0.0525935899,      0.1416634272,                 0,                 0,                 0,     0.08550911224,      0.0525935899,      0.1416634272,                 0,         2.6935493,    0.002394599513
          0,           0,          25,      -5.336671944,      -5.291067654,      -5.270372086,      -4.939549947,      -9.257884578,      -1.582958263,      0.0605442703,      0.1270690278,                 0,                 0,                 0,     0.07961581142,      0.0605442703,      0.1270690278,                 0,       2.098778747,    0.002394599513
          0,           0,          26,      -5.322366037,      -5.283198078,      -5.259272402,      -4.927496427,      -9.195711393,      -1.581061629,     0.06778779185,      0.1124076164,                 0,                 0,                 0,     0.07108903748,     0.06778779185,      0.1124076164,                 0,       1.658228028,    0.002394599513
          0,           0,          27,      -5.311590392,      -5.297760562,      -5.269699477,      -4.918979789,      -9.107953071,      -1.530812041,     0.07293188569,      0.1011007122,                 0,                 0,                 0,     0.06148349337,     0.07293188569,      0.1011007122,                 0,       1.386234721,    0.002394599513
          0,           0,          28,      -5.311100176,      -5.366794865,       -5.33645349,      -4.920969672,      -9.040723476,      -1.538300127,     0.07523959903,     0.09538086623,                 0,                 0,                 0,       0.051500082,     0.07523959903,     0.09538086623,                 0,       1.267695036,    0.002394599513
          0,           0,          29,      -5.318997355,      -5.477324271,      -5.459401278,      -4.925841894,      -9.050575332,      -1.516062632,     0.07262691878,      0.1019428284,                 0,                 0,                 0,     0.04451996719,     0.07262691878,      0.1019428284,                 0,       1.403650742,    0.002394599513
          0,           0,          30,      -5.331848014,      -5.512182607,      -5.524222793,      -4.930950182,      -9.215280169,      -1.604807098,     0.06407928857,        0.12492998,                 0,                 0,                 0,     0.04403248343,     0.06407928857,        0.12492998,                 0,        1.94961559,    0.002394599513
