"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.314656352,       -15.8347165,      -15.90297104,      -3.912874184,      -1.176191288,       5.154916549,       2.268982519,       2.802245968,                 0,                 0,                 0,       1.541391228,       2.119214735,       2.917154957,                 0,       1.235023163,     0.01584841812
          0,           0,           1,      -4.714514415,      -4.850947476,      -4.744038848,        -4.3250656,      -1.778081355,       4.553042043,       2.624223012,       2.908530152,                 0,                 0,                 0,       1.607077257,       2.468405899,       3.041885333,                 0,        1.10833955,     0.01584841812
          0,           0,           2,      -4.920780417,      -5.031606044,      -4.959357189,      -4.533136432,       -2.37983648,       3.951311299,       2.426416654,       2.731517717,                 0,                 0,                 0,       1.505360083,       2.280134743,       2.854763103,                 0,       1.125741415,     0.01584841812
          0,           0,           3,      -5.091142645,      -5.254599726,      -5.179462672,       -4.70028142,      -2.981460504,       3.349722206,       2.338005918,       2.671864883,                 0,                 0,                 0,       1.469981627,       2.194967158,       2.790564961,                 0,       1.142796459,     0.01584841812
          0,           0,           4,      -5.203182093,      -5.342606046,      -5.281365971,      -4.808199586,       -3.58306891,       2.748154367,       2.244183813,       2.609116286,                 0,                 0,                 0,       1.441651886,       2.104557641,       2.722992089,                 0,       1.162612559,     0.01607055901
          0,           0,           5,      -5.241194934,      -5.322609461,      -5.268527345,      -4.842659478,       -4.18499251,       2.146281091,       2.180804377,       2.568851178,                 0,                 0,                 0,       1.423792671,       2.043372378,       2.679465139,                 0,       1.177937464,     0.01607055901
          0,           0,           6,      -5.246961287,      -5.296614481,      -5.245162343,      -4.847983122,      -4.783378323,       1.548350837,        2.08574526,       2.505313105,                 0,                 0,                 0,       1.394850222,       1.951768861,       2.611039133,                 0,       1.201159678,     0.01584841812
          0,           0,           7,       -5.24727116,      -5.256452126,      -5.205589352,      -4.848274521,      -5.378517916,      0.9538393486,       1.938302652,       2.406801425,                 0,                 0,                 0,       1.349683635,       1.809684021,        2.50494591,                 0,       1.241705687,     0.01584841812
          0,           0,           8,      -5.241964062,      -5.205832818,      -5.158227851,      -4.842905034,      -5.970810381,      0.3627841247,       1.730317837,       2.273982135,                 0,                 0,                 0,       1.286100825,       1.608935467,       2.361423561,                 0,       1.314199095,     0.01626560741
          0,           0,           9,      -5.238748687,      -5.153081332,      -5.108092248,      -4.839703554,      -6.556455816,     -0.2136641805,       1.501416343,         2.1353344,                 0,                 0,                 0,       1.212916456,       1.387603937,       2.210986059,                 0,       1.422213372,     0.01626560741
